cmip5-label,cmip5-metafor-id,cmip6-id
Ocean,Ocean,cmip6.ocean
Ocean > Advection,OceanAdvection,cmip6.ocean.advection
Ocean > Boundary Forcing,OceanBoundaryForcing,cmip6.ocean.boundary_forcing
Ocean > Boundary Forcing > Tracers,OceanBoundForcingTracers,cmip6.ocean.boundary_forcing.tracers
Ocean > Lateral Physics,OceanLateralPhysics,cmip6.ocean.lateral_physics
Ocean > Lateral Physics > Momentum,OceanLateralPhysMomentum,cmip6.ocean.lateral_physics.momentum
Ocean > Lateral Physics > Tracers,OceanLateralPhysTracers,cmip6.ocean.lateral_physics.tracers
Ocean > Upper & Lower Boundaries,OceanUpAndLowBoundaries,cmip6.ocean.uplow_boundaries
Ocean > Vertical Physics,OceanVerticalPhysics,cmip6.ocean.vertical_physics
Ocean > Vertical Physics > Interior Mixing,OceanInteriorMixing,cmip6.ocean.vertical_physics.interior_mixing
Ocean > Vertical Physics > Mixed Layer,OceanMixedLayer,cmip6.ocean.vertical_physics.boundary_layer_mixing
