cmip5-label,cmip5-metafor-id,cmip6-id,mapping-qc-status
Ocean,Ocean,cmip6.ocean,0
Ocean > Advection,OceanAdvection,cmip6.ocean.advection,0
Ocean > Boundary Forcing,OceanBoundaryForcing,cmip6.ocean.boundary_forcing,0
Ocean > Boundary Forcing > Tracers,OceanBoundForcingTracers,cmip6.ocean.boundary_forcing.tracers,0
Ocean > Lateral Physics,OceanLateralPhysics,cmip6.ocean.lateral_physics,0
Ocean > Lateral Physics > Momentum,OceanLateralPhysMomentum,cmip6.ocean.lateral_physics.momentum,0
Ocean > Lateral Physics > Tracers,OceanLateralPhysTracers,cmip6.ocean.lateral_physics.tracers,0
Ocean > Upper & Lower Boundaries,OceanUpAndLowBoundaries,cmip6.ocean.uplow_boundaries,0
Ocean > Vertical Physics,OceanVerticalPhysics,cmip6.ocean.vertical_physics,0
Ocean > Vertical Physics > Interior Mixing,OceanInteriorMixing,cmip6.ocean.vertical_physics.interior_mixing,0
Ocean > Vertical Physics > Mixed Layer,OceanMixedLayer,cmip6.ocean.vertical_physics.boundary_layer_mixing,0
